Post Id,Scrape Date,Item nr,Main category,Subcategory,Post title,Post date,Vendor,New Post,Post status,Title bold,Vendor nr,Views,Sales,Quantity left,Autodispatch,Price USD,Price BTC,Pay methods 
1,Aug 05 2019,18898,Digital Products,Other,Minecraft Premium Account,Post date,ascius,New Post,Post status,Title bold,2908,Views,Sales,Quantity left,Autodispatch,Price USD,Price BTC,Pay methods 
2,Aug 05 2019,36297,Digital Products,Other,Jason&aposs Deli (eGift Non Carded) *HQ*,Post date,xiao_baobei,New Post,Post status,Title bold,977,Views,Sales,Quantity left,Autodispatch,Price USD,Price BTC,Pay methods 
3,Aug 05 2019,50121,Digital Products,Other,Make 400$ a day with email spamming (works in 2019),Post date,bestseller,New Post,Post status,Title bold,2989,Views,Sales,Quantity left,Autodispatch,Price USD,Price BTC,Pay methods 
4,Aug 05 2019,41948,Digital Products,Erotica,X-art PORN PREMIUM Lifetime Warranty,Post date,excelllence,New Post,Post status,Title bold,6749,Views,Sales,Quantity left,Autodispatch,Price USD,Price BTC,Pay methods 
5,Aug 05 2019,56572,Digital Products,E-Books,SPAM UP TO 100 SCAM PAGES AND LETTERS,Post date,JustBusiness,New Post,Post status,Title bold,562,Views,Sales,Quantity left,Autodispatch,Price USD,Price BTC,Pay methods 
6,Aug 05 2019,58424,Digital Products,Fraud Software,&#x2581 &#x2582 &#x2584 &#x2585 &#x2586 &#x2587 &#x2588 BTC wallet clipboard CHANGER &#x2588 &#x2587 &#x2586 &#x2585 &#x2584 &#x2582 &#x2581,Post date,Odin2030,New Post,Post status,Title bold,5697,Views,Sales,Quantity left,Autodispatch,Price USD,Price BTC,Pay methods 
7,Aug 05 2019,33922,Digital Products,Game Keys,E GIFT CARD 20+ Websites &#x2605Instant Delivery&#x2605,Post date,slipperypete,New Post,Post status,Title bold,3385,Views,Sales,Quantity left,Autodispatch,Price USD,Price BTC,Pay methods 
8,Aug 05 2019,16270,Digital Products,Legit Software,Make more than 1000&#x20AC With Betfair (NO Risk) INSTANT DELIVERY,Post date,SPTRLTD,New Post,Post status,Title bold,6859,Views,Sales,Quantity left,Autodispatch,Price USD,Price BTC,Pay methods 
9,Aug 05 2019,27146,Digital Products,Other,Hulu with Live TV [LIFETIME]&#x2605Auto Delivery&#x2605,Post date,bulkversion,New Post,Post status,Title bold,3315,Views,Sales,Quantity left,Autodispatch,Price USD,Price BTC,Pay methods 
10,Aug 05 2019,12435,Digital Products,Legit Software,Hack into any PC without password - Kon-Boot 2018,Post date,GodsLeftNut,New Post,Post status,Title bold,6794,Views,Sales,Quantity left,Autodispatch,Price USD,Price BTC,Pay methods 
